,time,magX,magY,magZ,linear_accX,linear_accY,linear_accZ,angular_velX,angular_velY,angular_velZ,orientationX,orientationY,orientationZ,orientationW
0,0.0,0.7077,0.2891,0.1414,-9.597,-0.025,1.589,0.033233,-0.012709,-0.053483,0.49357230443345684,-0.3038947921399214,0.76608110712588,0.2777662198887171
1,0.02794027328491211,0.7085,0.2867,0.1376,-9.589,-0.524,1.747,-0.023963,-0.001459,-0.026232,0.3675181171249686,-0.48045895001620964,0.6551748286193126,0.45258764331109774
2,0.05448508262634277,0.7077,0.2869,0.1416,-9.543,-0.302,1.63,-0.049119,0.007822,-0.001614,0.31379065941904927,-0.5313374806198027,0.5973081509749971,0.5122878844251436
3,0.07233834266662598,0.7082,0.2875,0.1371,-9.642,-0.129,1.56,-0.074171,0.004663,0.007055,0.3120468991937105,-0.5302941033659807,0.5885183456911641,0.5244626330100136
4,0.10001134872436523,0.7074,0.2894,0.1409,-9.519,-0.162,1.479,-0.060354,0.009497,0.019884,0.3428722979140767,-0.501525987865801,0.6095786474677319,0.5092387881630421
5,0.12231040000915527,0.7092,0.2886,0.1368,-9.662,-0.198,1.505,-0.034631,-0.004571,0.030466,0.4292987242606236,-0.40332348465470347,0.6899832748632796,0.4206612086740731
6,0.15126299858093262,0.7077,0.2891,0.143,-9.633,-0.189,1.657,-0.057161,-0.0013,0.04319,0.5228956426008862,-0.23289792254039315,0.7779466194360879,0.25910955585106854
7,0.1717231273651123,0.7077,0.2867,0.136,-9.53,0.045,1.699,-0.064032,-0.001497,0.042785,0.5720161346326273,-0.01955196114503336,0.8181142001444777,0.05571730482796661
8,0.19988465309143066,0.7063,0.2866,0.1411,-9.669,0.182,1.572,-0.055203,0.003464,0.022894,0.5682724506307698,0.12992590270762333,0.8082760123287017,-0.08291905422592061
9,0.23523998260498047,0.7084,0.2848,0.1406,-9.704,-0.008,1.672,-0.033316,-0.002025,0.007295,0.5595908325215146,0.18897712651655524,0.7957396608980268,-0.13395573106559158
10,0.250338077545166,0.7074,0.2845,0.1438,-9.535,-0.041,1.63,-0.037146,0.005468,0.001482,0.5618068778209894,0.2036675437243552,0.788527904984972,-0.14531450968960627
11,0.27300405502319336,0.7082,0.2867,0.1376,-9.414,0.138,1.486,-0.010515,-0.008068,-0.023286,0.575131464019346,0.13621157998960765,0.8033584156547825,-0.07270117308775773
12,0.29978346824645996,0.7084,0.2874,0.1441,-9.52,0.31,1.452,0.032788,-0.024091,-0.072318,0.5501287315119314,-0.11849885490733408,0.8057026467775641,0.18482328080182833
13,0.3224306106567383,0.7074,0.2867,0.1387,-9.51,0.056,1.527,0.034505,-0.041303,-0.095371,0.3103703790747355,-0.47611391356040833,0.614749269103601,0.5468721105009704
14,0.35015225410461426,0.7079,0.2896,0.1428,-9.739,-0.358,1.644,0.063468,-0.041277,-0.084941,-0.09412354760004193,-0.643275579327825,0.2706385861929595,0.7099943960983847
15,0.37972497940063477,0.7072,0.2899,0.1349,-9.687,-0.558,1.55,0.017414,-0.025206,-0.045654,-0.37493410518059966,-0.6235736695376752,0.03406959491588557,0.6851419985185617
16,0.40709900856018066,0.7072,0.2907,0.1393,-9.62,-0.031,1.441,0.025167,-0.027608,-0.02963,-0.505683980396461,-0.5767461392167157,-0.06669215667688638,0.6381220565901089
