,time,magX,magY,magZ,linear_accX,linear_accY,linear_accZ,angular_velX,angular_velY,angular_velZ,orientationX,orientationY,orientationZ,orientationW
0,0.0,0.3915,0.3622,-0.0766,-9.595,-0.568,1.456,0.005248,-0.002,-0.003853,-0.7564312110197754,0.03465275208751181,-0.529759211355291,-0.3820552155803366
1,0.02945113182067871,0.393,0.3655,-0.0774,-9.567,-0.627,1.46,0.006456,-0.004472,-0.003845,-0.7553462946889187,0.03419447384924701,-0.5338646691917467,-0.37851185984943914
2,0.05055999755859375,0.3909,0.3617,-0.0742,-9.614,-0.597,1.437,0.005134,-0.005319,0.00138,-0.7592883372022742,0.019925527958841893,-0.5415878250698374,-0.3602316227932943
3,0.07591056823730469,0.3925,0.362,-0.0758,-9.617,-0.613,1.492,-0.002947,-0.002062,0.002747,-0.7661903210080014,-0.00676669847389022,-0.5497292524116029,-0.33272263648330164
4,0.10075163841247559,0.3917,0.3606,-0.0747,-9.64,-0.565,1.444,-0.003375,0.000379,0.00423,-0.7731287766306179,-0.03562132843050467,-0.5561855409135908,-0.30275511520888687
5,0.13825011253356934,0.393,0.3625,-0.0779,-9.583,-0.632,1.467,-0.011475,0.001101,0.004712,-0.7785142724367292,-0.06044481700899321,-0.5596821011775802,-0.2775209853876067
6,0.15272259712219238,0.3909,0.3611,-0.0755,-9.575,-0.601,1.469,-0.018312,-0.000617,0.010687,-0.7865923492459213,-0.10320130582862816,-0.5616760143476068,-0.23482338360911928
7,0.17587924003601074,0.3938,0.362,-0.0752,-9.613,-0.564,1.483,-0.018664,-0.000167,0.009651,-0.7921905555988625,-0.15422558167553221,-0.5615833867803999,-0.1824080405822759
8,0.201369047164917,0.3922,0.3617,-0.0763,-9.616,-0.536,1.432,-0.015965,-0.000691,0.010969,-0.7939022138890951,-0.20388756680968578,-0.5576015167320248,-0.1312618886827581
9,0.2281045913696289,0.3933,0.3625,-0.0774,-9.623,-0.55,1.508,-0.024405,-0.002417,0.009249,-0.791976343604457,-0.2531490614112225,-0.5498788860399904,-0.07951248056092383
10,0.25085020065307617,0.392,0.3619,-0.0752,-9.583,-0.555,1.51,-0.020457,-0.000942,0.005735,-0.7875583963449946,-0.29313201252403764,-0.5409047137637419,-0.03531977078453824
11,0.27532172203063965,0.3933,0.3614,-0.0769,-9.591,-0.521,1.48,-0.026648,-0.002272,-0.002997,-0.7879352427709977,-0.299335759559366,-0.537651062069988,-0.02207921428493989
12,0.3015720844268799,0.3914,0.3609,-0.0753,-9.633,-0.509,1.472,-0.027259,-0.004943,-0.00856,-0.7945233105781582,-0.2719535859567683,-0.5414324782722341,-0.04030914914960093
13,0.3442656993865967,0.3933,0.3644,-0.0757,-9.609,-0.562,1.488,-0.015851,-0.004662,-0.014489,-0.8017617654245781,-0.21412053165213618,-0.5511454587212603,-0.08700087792201722
14,0.349395751953125,0.3915,0.3633,-0.075,-9.606,-0.639,1.48,-0.014942,-0.004048,-0.01244,-0.8041412881423582,-0.15185117624826,-0.557567490423738,-0.13934311105807723
15,0.3832361698150635,0.392,0.3633,-0.0741,-9.574,-0.6,1.435,-0.013318,-0.003276,-0.007028,-0.8039429721213693,-0.11420278162836275,-0.5581752887942751,-0.17051031999392713
16,0.39983057975769043,0.392,0.3619,-0.0742,-9.582,-0.655,1.442,-0.009197,-0.002753,0.000379,-0.8038760323244216,-0.10525966604318165,-0.5589867003013396,-0.17388960936480266
17,0.42661499977111816,0.393,0.363,-0.0741,-9.6,-0.575,1.467,-0.008788,-0.003407,0.003674,-0.8050744897036014,-0.11998973306710173,-0.5595980035792751,-0.1559089618240751
18,0.45221710205078125,0.3907,0.3622,-0.0752,-9.65,-0.575,1.44,-0.000466,-0.001285,1e-05,-0.8052439042772331,-0.1342738478606968,-0.5604436877929058,-0.1394835517834586
19,0.48947668075561523,0.3933,0.3619,-0.0741,-9.6,-0.578,1.485,0.004897,-0.003018,-0.001378,-0.8040819036935656,-0.1500418413746529,-0.562237109768307,-0.12177508114887736
20,0.5007519721984863,0.3917,0.3625,-0.0742,-9.547,-0.536,1.495,0.006364,-0.003186,-0.003784,-0.802553653554801,-0.1474672149360509,-0.5649169205773087,-0.12259660081052623
21,0.5374245643615723,0.3928,0.3647,-0.0744,-9.584,-0.54,1.47,0.024756,-0.008793,-0.015203,-0.7993412870087111,-0.1221260481779804,-0.5704934505797229,-0.14379136999600467
22,0.5504021644592285,0.3912,0.3636,-0.0755,-9.633,-0.655,1.471,0.015574,-0.0068,-0.013553,-0.7925858978226423,-0.07648043490769252,-0.5763135077885253,-0.18390507983601675
23,0.5971686840057373,0.3928,0.3633,-0.0771,-9.623,-0.623,1.485,0.015202,-0.005024,-0.003571,-0.7882073608778797,-0.06079033102228468,-0.5802664384073628,-0.19576657623343974
24,0.5991408824920654,0.3917,0.3636,-0.0744,-9.597,-0.498,1.49,0.017997,-0.003446,-0.008398,-0.7842735367628819,-0.04601019081801508,-0.5822852411322818,-0.2091458338907343
25,0.625,0.3915,0.3644,-0.0763,-9.571,-0.559,1.465,0.019103,-0.004007,-0.006882,-0.7795743482465857,-0.030808918453520157,-0.5845356243601296,-0.2227840881965073
26,0.6633994579315186,0.3902,0.3644,-0.075,-9.577,-0.584,1.438,0.024301,-0.004102,-0.013056,-0.7700876461076183,0.006082134836131292,-0.5839070882676595,-0.25686676939426534
27,0.6760861873626709,0.3912,0.3644,-0.0768,-9.604,-0.606,1.51,0.021419,-0.002799,-0.013931,-0.7581121459624715,0.04587634908676602,-0.5805182564230882,-0.29353004735144783
28,0.7086331844329834,0.3904,0.3614,-0.075,-9.605,-0.548,1.537,0.020367,-0.004585,-0.014196,-0.7442376606569243,0.08547655471880916,-0.5743198403575269,-0.33009208415988406
29,0.724663257598877,0.3912,0.3639,-0.0779,-9.596,-0.597,1.444,0.025046,-0.002296,-0.013997,-0.7245835044806009,0.1326515198613922,-0.5642125756587218,-0.372889378746063
30,0.7509596347808838,0.3907,0.3639,-0.0777,-9.593,-0.605,1.494,0.016129,-0.002552,-0.013261,-0.6998139151728375,0.18490236954842906,-0.5463494871333068,-0.42139510649153655
31,0.7895560264587402,0.3909,0.362,-0.0774,-9.587,-0.638,1.487,0.008367,-0.002582,-0.011317,-0.6767367534747444,0.22666400379646615,-0.5283836807446414,-0.45984941209287555
32,0.8012595176696777,0.3902,0.3631,-0.0787,-9.603,-0.579,1.479,0.012152,-0.001769,-0.010929,-0.6519877667567682,0.2659883830714421,-0.5089288656287795,-0.4951298231780889
33,0.8249325752258301,0.3904,0.3671,-0.0771,-9.617,-0.601,1.557,0.013403,-0.002506,-0.007421,-0.6281732777863844,0.29898631115579144,-0.49042034369300974,-0.5248746567596807
34,0.8589732646942139,0.3896,0.3617,-0.0774,-9.593,-0.656,1.491,0.012771,-0.000356,-0.006603,-0.6073448495272794,0.32478036089113427,-0.4741043555076004,-0.5485207480313157
35,0.8759362697601318,0.3904,0.3641,-0.0774,-9.587,-0.646,1.499,0.009102,-0.002319,-0.005389,-0.5954468472844793,0.3389842957421758,-0.4657743915977216,-0.5599883172271788
36,0.9012713432312012,0.3899,0.3611,-0.0782,-9.593,-0.587,1.459,0.004198,-0.001678,-0.005348,-0.5823752031311378,0.35442618347943045,-0.45568547136467874,-0.5723390205370603
37,0.9257261753082275,0.3915,0.3633,-0.0779,-9.612,-0.589,1.5,0.006945,-0.002356,-0.009889,-0.5634930468729292,0.37547117152963366,-0.44077589494001096,-0.5892483312796561
38,0.9510705471038818,0.3889,0.3644,-0.0779,-9.61,-0.618,1.522,0.005859,-0.003717,-0.008249,-0.5466269425188224,0.393209841064258,-0.42793972200639296,-0.6028703019156243
39,0.9754929542541504,0.3907,0.3644,-0.0771,-9.583,-0.665,1.557,0.002345,-0.003464,-0.005324,-0.532537662357891,0.4081833982995377,-0.41755403296141475,-0.6127304310059128
40,1.0004584789276123,0.3899,0.363,-0.0779,-9.614,-0.628,1.469,-0.001351,-0.00387,-0.003435,-0.5208659399878273,0.4205639230221672,-0.4087166351043086,-0.6203026450063011
41,1.0259568691253662,0.3925,0.3647,-0.0782,-9.551,-0.638,1.464,0.001456,-0.003705,-0.003609,-0.5130277643007227,0.42893653619592015,-0.40346599830806196,-0.6245247386470189
42,1.0598087310791016,0.3886,0.3628,-0.0774,-9.596,-0.656,1.488,0.001498,-0.000417,-0.000369,-0.5162853647593719,0.4267892606454727,-0.40837847711547803,-0.6201027080748931
43,1.0757007598876953,0.3899,0.3625,-0.0771,-9.612,-0.61,1.519,0.003534,-0.001473,0.004586,-0.5350445873177182,0.4100423213830427,-0.42844635871122294,-0.601686215534237
44,1.1024360656738281,0.3902,0.3633,-0.0782,-9.602,-0.572,1.469,0.001213,-0.00122,0.001157,-0.5530398736959314,0.39204574340543547,-0.4467292307458493,-0.5838493192402382
45,1.125608205795288,0.3902,0.363,-0.0785,-9.599,-0.598,1.498,0.003595,-0.004959,0.001255,-0.568973893634187,0.37586086166957494,-0.464734518990215,-0.5648178006106845
46,1.1524875164031982,0.3894,0.3639,-0.0785,-9.601,-0.594,1.527,0.000594,-0.005315,-0.00124,-0.5817830117992884,0.36287026846080506,-0.4808579654046584,-0.5464698642705053
47,1.1757481098175049,0.3912,0.3617,-0.0796,-9.619,-0.631,1.512,0.002302,-0.004607,-0.00614,-0.5825801666426489,0.3635087444807506,-0.4853801762324118,-0.5411726403295394
48,1.2076010704040527,0.3902,0.3641,-0.0771,-9.606,-0.585,1.468,0.001302,-0.005724,-0.005336,-0.579086822911699,0.36917874479798185,-0.4844883466243459,-0.5418824115106793
49,1.2249984741210938,0.3896,0.3641,-0.079,-9.593,-0.644,1.498,0.002188,-0.007575,-0.006389,-0.5731338718098715,0.3778771810889403,-0.4830701209661125,-0.543479216922126
50,1.2509970664978027,0.3894,0.3649,-0.0774,-9.566,-0.625,1.522,0.003171,-0.006503,-0.00608,-0.5648217262740091,0.38958505397495546,-0.47927013982145356,-0.5472659648870044
51,1.2969446182250977,0.3896,0.3652,-0.0785,-9.601,-0.617,1.525,-0.004759,-0.004524,-0.00221,-0.5652262852507128,0.3907599872886808,-0.4821985807882944,-0.5434247026788387
52,1.3000636100769043,0.3899,0.3625,-0.0761,-9.597,-0.581,1.561,-0.005443,-0.006742,-0.00694,-0.5642837083445269,0.3939643897414051,-0.48424377125100565,-0.5402628305901074
53,1.3376095294952393,0.3915,0.3647,-0.0806,-9.603,-0.585,1.531,-0.006755,-0.00836,-0.009246,-0.5563692230507415,0.4054935196665769,-0.4802286437734915,-0.5435151726031194
54,1.3507869243621826,0.3881,0.3647,-0.0779,-9.573,-0.571,1.501,-0.009167,-0.008041,-0.010727,-0.5352241496578446,0.4310735906871295,-0.4634056207575953,-0.5594335525202345
55,1.3845186233520508,0.3899,0.3649,-0.079,-9.582,-0.675,1.482,-0.00457,-0.010499,-0.011446,-0.5074619174646319,0.46162566889219436,-0.4423986491259704,-0.5776396622414964
56,1.4145152568817139,0.3891,0.3641,-0.079,-9.595,-0.636,1.521,-0.00567,-0.007796,-0.012531,-0.46680580463791255,0.5005283732341198,-0.40826993514430243,-0.6040524384531724
57,1.4289751052856445,0.3904,0.3652,-0.079,-9.604,-0.621,1.534,-0.006583,-0.012494,-0.011313,-0.43004076293367266,0.5325817489467385,-0.3784739620143381,-0.6230401937125946
58,1.4513020515441895,0.3876,0.3652,-0.0782,-9.611,-0.637,1.527,-0.011226,-0.012736,-0.013632,-0.392393459184544,0.5631886469105281,-0.3489991274054254,-0.6380011992547724
59,1.4757952690124512,0.3894,0.3649,-0.079,-9.58,-0.646,1.522,-0.013239,-0.009038,-0.011136,-0.3534157911418233,0.5907845503100492,-0.3168730413768582,-0.6524280568270588
60,1.5169689655303955,0.3883,0.3636,-0.0796,-9.6,-0.657,1.515,-0.00539,-0.00667,-0.010572,-0.32120925032219827,0.6115228225043816,-0.2908210685440136,-0.6620329003566546
61,1.5247478485107422,0.3894,0.366,-0.0801,-9.616,-0.729,1.548,-0.017033,-0.00556,-0.006137,-0.29480598986350837,0.6265505601265945,-0.26852986075050234,-0.669638363470137
62,1.5511906147003174,0.3873,0.366,-0.0801,-9.574,-0.628,1.522,-0.020454,-0.005275,-0.001202,-0.2844044028342287,0.6329295971330775,-0.26014286217209404,-0.6714461646196045
63,1.5763261318206787,0.3886,0.3639,-0.0798,-9.563,-0.618,1.515,-0.011973,-0.006926,-0.006433,-0.27341656619784027,0.6396883464766715,-0.2522315142474905,-0.6726228244201516
64,1.601710557937622,0.3878,0.3666,-0.0806,-9.542,-0.632,1.513,-0.004877,-0.004809,-0.007844,-0.25975073392530745,0.6474119994295204,-0.24225511467007677,-0.6743142580697244
65,1.6475350856781006,0.3894,0.366,-0.0803,-9.558,-0.666,1.593,-0.001607,-0.007,-0.005687,-0.24421943960241366,0.6559470937957302,-0.23130944184370333,-0.6757116378864381
66,1.649864673614502,0.387,0.3649,-0.0782,-9.592,-0.676,1.574,-0.002173,-0.006773,-0.001655,-0.23725840136701604,0.661205794420626,-0.22897560232767694,-0.6738586809888513
67,1.6755375862121582,0.3883,0.366,-0.0785,-9.56,-0.594,1.588,0.001233,-0.00382,-0.00473,-0.23003683979503245,0.6655541098748663,-0.22484822852693456,-0.6734716425315088
68,1.708855390548706,0.3878,0.365,-0.0812,-9.588,-0.618,1.525,0.001366,-0.00331,-0.006645,-0.21013809081569185,0.6741243260497094,-0.20844024925764232,-0.6767207978965719
69,1.7249627113342285,0.3907,0.3666,-0.0798,-9.583,-0.652,1.598,0.010551,-0.002442,-0.006614,-0.1926241395979359,0.6817234094526486,-0.19477619938077034,-0.678388801501907
70,1.7640206813812256,0.387,0.3663,-0.079,-9.58,-0.672,1.557,0.00664,-0.002914,-0.00219,-0.1851696558705383,0.6855197228741124,-0.18996816637423783,-0.678002215232219
71,1.7756261825561523,0.3891,0.3663,-0.0809,-9.566,-0.648,1.583,0.006241,-0.000334,0.002541,-0.19448800391570745,0.6836315037869006,-0.20037657841869655,-0.67429341549815
72,1.8009586334228516,0.3876,0.3649,-0.079,-9.571,-0.605,1.529,0.015008,-4.9e-05,-0.000292,-0.2038242518080876,0.6811222330377791,-0.210010295247058,-0.6711362409576359
73,1.8253231048583984,0.3891,0.3685,-0.0801,-9.594,-0.642,1.521,0.013154,0.000266,-0.000528,-0.20906447405588108,0.6802695212334264,-0.21624340414333157,-0.668404229739075
74,1.8586077690124512,0.3873,0.3649,-0.079,-9.599,-0.659,1.525,0.012059,-0.000679,-0.001979,-0.21499696859703868,0.6786611495169744,-0.22242938511261184,-0.6661234992618171
75,1.8753604888916016,0.3886,0.3669,-0.0809,-9.555,-0.622,1.537,0.006006,-0.001971,-0.002444,-0.2198604541538593,0.6778123544292964,-0.2283026314962051,-0.6634076434095256
76,1.902503490447998,0.3876,0.3655,-0.079,-9.585,-0.645,1.532,0.008261,0.001261,-0.005002,-0.203389715558166,0.6836256922998052,-0.2124529976629727,-0.6679463003990646
77,1.9262809753417969,0.3894,0.3666,-0.0809,-9.616,-0.644,1.548,0.004453,0.000632,-0.005784,-0.17535514988139064,0.6929330376643068,-0.18609376674752365,-0.674139070742165
78,1.951906442642212,0.3868,0.3644,-0.0798,-9.568,-0.638,1.519,0.002632,-0.00055,-0.00738,-0.1416541580750656,0.7020284534793454,-0.15377454737717977,-0.6807668753577737
79,1.9911468029022217,0.3886,0.3652,-0.0809,-9.551,-0.672,1.529,0.000891,-0.001072,-0.00774,-0.10884847895493474,0.7096065267714505,-0.12267082130540863,-0.6852462735344224
80,2.0008833408355713,0.3883,0.3639,-0.079,-9.588,-0.699,1.571,-0.006231,-9.5e-05,-0.005114,-0.08049546079345035,0.7148229499040477,-0.09575355425423074,-0.6880260808499977
81,2.0252888202667236,0.3889,0.3682,-0.0801,-9.616,-0.661,1.546,-0.004985,0.000625,-0.006135,-0.05583973648957441,0.718576308090189,-0.0726138781967251,-0.6893890323855464
82,2.0544989109039307,0.3868,0.365,-0.0815,-9.582,-0.652,1.558,-0.007976,5.3e-05,-0.00737,-0.023890952425779655,0.7216075217449307,-0.04179929679621047,-0.6906262561911984
83,2.087970018386841,0.3881,0.3647,-0.0804,-9.612,-0.637,1.575,-0.006242,-0.000406,-0.009336,0.02054708065738675,0.7237199208315727,0.000683087703902352,-0.689787523125194
84,2.1031200885772705,0.3868,0.3657,-0.0771,-9.557,-0.696,1.507,-0.007029,0.001457,-0.00805,0.06669260229954349,0.7224036006675167,0.045596636132566926,-0.6867358162456043
85,2.1264777183532715,0.3886,0.3674,-0.0817,-9.537,-0.721,1.564,-0.012969,0.002956,-0.003805,0.10212343803790402,0.7189461339272186,0.08045038661726961,-0.6827993813760789
86,2.152738094329834,0.3852,0.3657,-0.079,-9.577,-0.679,1.556,-0.014141,0.003483,-7.2e-05,0.12375725725618716,0.7147564096004382,0.10288355800755922,-0.6806044296823389
87,2.1771790981292725,0.3876,0.3663,-0.0804,-9.618,-0.618,1.55,-0.013284,0.003435,-0.005632,0.1508586194303968,0.7094123232011942,0.13001907709082972,-0.6760701681233156
88,2.203653573989868,0.3855,0.3663,-0.0774,-9.598,-0.661,1.545,0.001105,0.004258,-0.003964,0.18257789935741947,0.7015296281800769,0.16240733169279392,-0.6694365915187053
89,2.2266979217529297,0.3878,0.3668,-0.079,-9.583,-0.701,1.584,-0.009583,0.004055,-0.005621,0.21359205943662807,0.6922627911096118,0.19408117604863634,-0.6614250957548617
