,time,magX,magY,magZ,linear_accX,linear_accY,linear_accZ,angular_velX,angular_velY,angular_velZ,orientationX,orientationY,orientationZ,orientationW
0,0.0,0.4389,0.0767,0.5091,-9.743,-0.581,0.165,-0.001913,0.370446,-0.372445,-0.01723454262815223,-0.05905076598142668,0.703474598021282,0.7080532942626571
1,0.008456707000732422,0.4374,0.0818,0.5113,-9.699,-2.694,2.269,-0.177396,0.105381,-0.591055,0.4200219033713074,0.45142746551008095,0.7822129127403512,-0.08909435006634558
2,0.047835588455200195,0.4411,0.0853,0.5111,-9.425,-3.331,2.936,-0.811187,-0.093493,-0.636712,-0.6822461057749973,-0.18978468407781465,-0.6720609333643655,0.21646276051495147
3,0.058739423751831055,0.4419,0.0854,0.5073,-9.329,-3.332,2.135,-1.395979,-0.200884,-0.547777,0.5834483023531686,-0.11446820885438333,0.7728979994062936,-0.22161631292985573
4,0.08544206619262695,0.4463,0.08,0.5021,-8.607,-2.758,0.864,-1.77147,-0.280777,-0.311569,-0.6806830704870924,0.5509623067406592,-0.10324466310113839,-0.47164778558200426
5,0.12461090087890625,0.4494,0.07,0.4969,-7.841,-0.093,0.142,-1.469679,-0.47963,-0.204353,-0.2827080729930642,-0.29461152627918424,-0.19722749533059958,0.8912808250678436
6,0.13372206687927246,0.456,0.0668,0.4862,-7.356,-0.023,-1.135,-0.281649,-0.719065,-0.198072,-0.43641504980477913,0.5918210871985361,-0.6545922849832785,-0.1754954286909071
7,0.16880464553833008,0.4618,0.0729,0.4755,-8.009,-0.409,-0.965,0.766273,-0.85886,-0.041274,-0.6366962284830289,0.3161584092216172,-0.6996354482225595,-0.07191670532193145
8,0.18596291542053223,0.4695,0.083,0.4633,-8.608,-1.021,-1.336,1.299581,-0.783709,0.131046,-0.6394763853540306,-0.298591364751321,-0.655093758460627,0.2697504719113881
9,0.209061861038208,0.4761,0.0932,0.4524,-8.791,-0.837,-1.082,1.557624,-0.64668,0.395492,-0.23992547914199736,-0.5203613120861239,-0.6539010090375327,0.4940377917955135
10,0.25082969665527344,0.4814,0.0992,0.4417,-9.217,-1.132,-0.444,1.740021,-0.580487,0.56409,0.0333271731176474,-0.14743981108618087,-0.3528543397412409,0.9233875765704403
