,time,magX,magY,magZ,linear_accX,linear_accY,linear_accZ,angular_velX,angular_velY,angular_velZ,orientationX,orientationY,orientationZ,orientationW
0,0.0,0.7208,0.07,-0.15,-9.675,0.773,1.333,-0.133481,0.019746,-0.085576,-0.6296844473685352,0.058235706681303345,-0.7700029324469225,0.08486214251744861
1,0.02783489227294922,0.7205,0.0709,-0.1566,-9.55,1.142,1.59,-0.132468,-0.012328,-0.051764,-0.5015341187256491,0.448425264472935,-0.6746178179742535,-0.3037583078832931
2,0.06005692481994629,0.7208,0.0717,-0.1508,-9.631,0.929,1.178,0.011874,-0.039906,-0.026818,-0.3149530304420768,0.6390071334732532,-0.4808871712604868,-0.5110988167690622
3,0.07253599166870117,0.7219,0.0728,-0.1592,-9.732,0.846,1.651,0.082507,-0.015901,-0.012483,-0.2287771015060078,0.6951286103800136,-0.371746499032943,-0.5711933064334798
4,0.09802103042602539,0.7208,0.0725,-0.151,-9.726,0.243,1.257,0.11493,0.007496,0.002894,-0.2867564144361549,0.6715591045703782,-0.42203554755576955,-0.5372756503394266
5,0.12116193771362305,0.7213,0.0693,-0.1582,-9.591,0.267,1.687,0.014725,-0.018876,-0.010116,-0.28905620951748945,0.6751547044247618,-0.4140130003269846,-0.5377786425591314
6,0.14769864082336426,0.7213,0.0719,-0.1516,-9.639,0.315,1.571,-0.082751,0.004515,-0.010043,-0.19159989821623405,0.7175792941064235,-0.31863398273150734,-0.5889327811575046
7,0.1710660457611084,0.7211,0.0717,-0.1598,-9.722,0.213,1.341,-0.137984,0.028513,-2.2e-05,-0.15801604050209295,0.7256067627490005,-0.3117675350722761,-0.5927282352578743
8,0.1978132724761963,0.7226,0.0703,-0.1537,-9.551,0.644,1.535,-0.179124,0.045043,-0.003203,-0.11784963603287543,0.7286240652629354,-0.31641132090735835,-0.5959046155286036
9,0.22577524185180664,0.7216,0.0711,-0.1555,-9.698,0.514,1.372,-0.140964,0.04326,-0.014426,-0.06139972928372883,0.7310325530807436,-0.3158143282745709,-0.6017331548424236
10,0.2499561309814453,0.7214,0.0744,-0.1478,-9.658,0.681,1.707,-0.16268,0.036268,-0.032202,0.1038108579417173,0.7448807551947026,-0.20319237352668676,-0.626967962223402
11,0.2713279724121094,0.7206,0.0752,-0.1553,-9.533,0.791,1.661,-0.169093,0.040756,-0.033369,0.3246053318225588,0.7123840495973373,-0.04228944771050536,-0.6207672245246244
12,0.29950904846191406,0.7217,0.0738,-0.1462,-9.692,0.825,1.55,-0.196207,0.025786,-0.027317,0.5197668004223006,0.6229195158326138,0.10360582004149146,-0.5753951546782059
13,0.32340073585510254,0.7212,0.076,-0.1492,-9.706,0.831,1.728,-0.202747,0.016574,-0.016659,0.6730590846191562,0.4901472000134438,0.23214667882488935,-0.5028470050036875
14,0.3499112129211426,0.7207,0.076,-0.1454,-9.511,1.043,1.636,-0.164741,0.028755,-0.001285,0.7421955478582039,0.3891364398397613,0.28526639349080396,-0.4651254504679856
15,0.37952661514282227,0.7209,0.0757,-0.15,-9.441,1.021,1.572,0.018146,0.044442,0.031005,0.6457568117717525,0.47334665359110484,0.16476824078485927,-0.5760143335136257
16,0.4066803455352783,0.7222,0.0743,-0.1465,-9.62,0.663,1.225,0.033159,0.092993,0.04926,0.2786558086369335,0.6051233616351903,-0.2581915421401677,-0.6996526174348993
17,0.4234936237335205,0.7224,0.0733,-0.1494,-9.577,0.473,1.171,-0.042875,0.07572,0.047717,-0.09286081268705679,0.4440960882163239,-0.6916603293955375,-0.5619266167735029
18,0.4463810920715332,0.7227,0.0727,-0.142,-9.724,0.434,1.607,-0.013671,0.005262,0.02572,-0.2471314881409114,0.23529583965869788,-0.8622302703425482,-0.37432720488041366
19,0.47437429428100586,0.7224,0.073,-0.1505,-9.75,0.448,1.532,0.114719,-0.030841,-0.009451,-0.2627407726226336,0.2440147803465644,-0.8647660995208584,-0.3515731310745466
20,0.49936795234680176,0.7229,0.0714,-0.1441,-9.754,0.444,1.279,0.181747,-0.011774,-0.026005,-0.2288967461044168,0.3461735958024356,-0.8267244443531507,-0.37986420507991575
21,0.5232229232788086,0.7229,0.0709,-0.1505,-9.737,0.504,1.216,0.134485,0.010886,-0.030086,-0.1780768884753148,0.4345868976018067,-0.7873437431713283,-0.39939038585417735
