,time,magX,magY,magZ,linear_accX,linear_accY,linear_accZ,angular_velX,angular_velY,angular_velZ,orientationX,orientationY,orientationZ,orientationW
0,0.0,0.7435,-0.0659,0.1098,-9.696,0.055,1.521,0.027805,-0.005573,-0.024299,0.008038432756998865,0.7319929247689269,0.5629538695668634,-0.3836726240256639
1,0.0228121280670166,0.7358,-0.0618,0.0999,-9.624,-0.001,1.559,0.040007,-0.024616,-0.034164,0.1336897113220548,0.6403664965860525,0.6864376861585378,-0.3175863884961754
2,0.046137094497680664,0.7428,-0.0656,0.1108,-9.51,0.178,1.5,-0.049451,-0.027952,-0.033362,0.2752825672918213,0.4945705799692672,0.8037999903372284,-0.1830984028001297
3,0.07040047645568848,0.7369,-0.0618,0.098,-9.67,0.384,1.386,-0.070579,-0.010052,-0.02952,0.37154346052409043,0.323634663848416,0.870163778526281,0.005573135416599789
4,0.09649348258972168,0.7446,-0.0632,0.1106,-9.72,0.112,1.551,0.012906,-0.005879,-0.042495,0.39728656849408606,0.12360566146561995,0.8849147013325349,0.20931076014718186
5,0.12504053115844727,0.7361,-0.0613,0.0994,-9.723,-0.238,1.486,0.032873,-0.011003,-0.063917,0.31518977059733155,-0.1607280988962962,0.8038703306881975,0.4781363593947149
6,0.1465623378753662,0.7447,-0.0616,0.1109,-9.695,-0.161,1.461,-0.03439,-0.013554,-0.094576,-0.04235941481749983,-0.46422644424380444,0.4340059579169907,0.7709334062898222
7,0.18897414207458496,0.7375,-0.058,0.0978,-9.748,-0.204,1.42,-0.101586,-0.00144,-0.112532,-0.6402938326083839,-0.3389288986225318,-0.1896723454478591,0.6627031092234987
8,0.24332380294799805,0.7439,-0.0597,0.1064,-9.651,-0.132,1.572,-0.060293,0.003672,-0.125004,-0.84365554556702,0.3382468331663178,-0.41691481092216415,0.004054715860209307
9,0.24594783782958984,0.7364,-0.0583,0.0975,-9.592,0.026,1.695,-0.029302,-0.001655,-0.121041,-0.32832061992194794,0.8142162018324273,0.081460727220668,-0.4718280376666101
10,0.2813539505004883,0.745,-0.0581,0.1109,-9.499,0.17,1.731,-0.019943,0.007409,-0.081471,0.19531302024308422,0.6921155662966159,0.6054286224467514,-0.3410059385636389
11,0.2831096649169922,0.7383,-0.054,0.0984,-9.617,0.055,1.78,-0.022782,-0.015155,-0.054074,0.41948942394045186,0.3950732910678471,0.8158627544713277,-0.0481007666611048
12,0.297762393951416,0.7453,-0.054,0.1069,-9.71,0.047,1.622,-0.018102,-0.019898,-0.035318,0.47334716524642745,0.1712154400798396,0.847850074198611,0.16666729107070669
13,0.32050156593322754,0.7389,-0.0529,0.0973,-9.657,-0.217,1.659,0.000946,-0.014316,-0.028026,0.46732997650686414,0.011716092685297191,0.8265896163391504,0.31339277654499187
14,0.34744930267333984,0.7456,-0.0532,0.1109,-9.705,-0.494,1.569,0.011329,-0.015175,-0.036937,0.41646517045585796,-0.15617272169921936,0.7639540746647828,0.46748370516768467
15,0.3787517547607422,0.7391,-0.0519,0.0978,-9.753,-0.553,1.566,0.022617,-0.018682,-0.053506,0.27210090912401474,-0.363196710009861,0.6067517547949672,0.6526113339079591
16,0.3970770835876465,0.7469,-0.0532,0.1067,-9.707,-0.542,1.443,-0.011479,-0.007287,-0.063599,-0.0250603983111104,-0.5253815725205029,0.2949707476395102,0.7977082409812251
17,0.42364025115966797,0.7395,-0.0483,0.0968,-9.54,-0.367,1.425,-0.023894,0.005129,-0.056077,-0.37643459358056397,-0.5041903711629587,-0.06618169630417545,0.7744088387000083
18,0.4480278491973877,0.7465,-0.0489,0.1088,-9.604,-0.227,1.507,-0.051378,0.031018,-0.038255,-0.639333708141227,-0.3264185832582898,-0.3214971826723243,0.6175296589410079
19,0.4798460006713867,0.7397,-0.0478,0.0981,-9.656,-0.132,1.653,-0.037905,0.020555,-0.030411,-0.7724924301067337,-0.1178785114340799,-0.45131829895381936,0.4308966175305965
20,0.49952077865600586,0.7459,-0.0508,0.1064,-9.53,-0.081,1.509,-0.027501,0.022469,-0.015971,-0.8177996723278461,0.0352887328186193,-0.4929415264135003,0.2949017680748152
21,0.5256173610687256,0.7392,-0.0483,0.0979,-9.6,-0.209,1.536,-0.007438,0.021105,-0.015367,-0.8317428131389519,0.15072185120979914,-0.4970756804890363,0.19596577309814917
22,0.5490109920501709,0.7465,-0.0489,0.1099,-9.652,-0.258,1.598,-0.010348,0.016532,-0.012015,-0.8291016580586442,0.25455896102790376,-0.48710294639232576,0.10257141697722663
