,time,magX,magY,magZ,linear_accX,linear_accY,linear_accZ,angular_velX,angular_velY,angular_velZ,orientationX,orientationY,orientationZ,orientationW
0,0.0,0.5562,0.2212,-0.2305,-9.559,-0.77,1.768,-0.00396,0.007686,-0.004138,-0.21486880836755745,-0.23856627681660875,-0.9158152420731007,-0.24124669768341922
1,0.022267580032348633,0.5557,0.2215,-0.2287,-9.605,-0.747,1.67,-0.012054,-0.00226,-0.001064,-0.2161635921903084,-0.2212315811191352,-0.913734189386095,-0.26347622297627815
2,0.04864382743835449,0.5547,0.2215,-0.2271,-9.619,-0.73,1.726,0.011711,0.002633,-0.000219,-0.2172980177391879,-0.21857014634176897,-0.9137168101088722,-0.2648211727547941
3,0.08857083320617676,0.5552,0.222,-0.2282,-9.638,-0.84,1.705,0.009305,0.004316,-0.001215,-0.21597022405984362,-0.2005138468802475,-0.9157932846419389,-0.2728987345766816
4,0.09746241569519043,0.5546,0.2212,-0.2268,-9.605,-0.782,1.734,-0.005026,0.001199,-0.004154,-0.2153131123656644,-0.1790301974713502,-0.9137233624243801,-0.29444535825287715
5,0.12420129776000977,0.5547,0.2236,-0.2274,-9.593,-0.731,1.794,0.003768,-0.003426,0.001783,-0.2150445028633045,-0.17553664679805908,-0.9132179278527416,-0.29828805485220583
6,0.15323829650878906,0.5541,0.2201,-0.2276,-9.588,-0.766,1.782,0.003103,-0.00041,0.007774,-0.21678780510651055,-0.19903653164615231,-0.9156711814369444,-0.27374037720665656
7,0.17046117782592773,0.5541,0.2217,-0.2298,-9.607,-0.746,1.733,0.007505,0.000763,0.00868,-0.2194926578784133,-0.22807688581958188,-0.9178984166575025,-0.23930399910983757
8,0.19869017601013184,0.5541,0.222,-0.2292,-9.618,-0.763,1.711,0.012224,0.003326,0.008437,-0.2209665302085989,-0.2567486957861604,-0.9185923161187934,-0.20357322148845786
9,0.2219705581665039,0.5552,0.2231,-0.2282,-9.641,-0.752,1.758,0.021975,0.003194,0.008751,-0.21985124312470217,-0.2821690185438012,-0.9188494291898806,-0.16661873348450848
10,0.24638628959655762,0.5541,0.2201,-0.2287,-9.598,-0.767,1.733,0.008954,0.010045,0.009854,-0.2224942451779987,-0.29598693998793446,-0.9181687694882127,-0.14090476555373488
11,0.28220653533935547,0.5549,0.2207,-0.2271,-9.586,-0.756,1.715,0.013487,0.005568,0.010961,-0.22692230733858287,-0.3113455798050596,-0.915451124318772,-0.11627310674219261
12,0.2974095344543457,0.5538,0.2188,-0.2298,-9.587,-0.777,1.743,0.019942,0.002044,0.011088,-0.22115223075305107,-0.34476463700115906,-0.9095055689726574,-0.07091301653526629
